Feature,Importance
rst_count,0.003889999999999949
Duration,0.0029799999999999493
urg_count,0.0025199999999999446
IAT,0.00246999999999995
Weight,0.002459999999999951
Number,0.002449999999999952
flow_duration,0.0015999999999999348
Variance,0.0014499999999999513
Header_Length,0.0007499999999999285
Covariance,0.0007099999999999218
psh_flag_number,0.00044999999999995044
HTTP,0.00039999999999995595
syn_count,0.00028999999999995696
Tot size,0.00026999999999997024
TCP,0.00017999999999995797
UDP,0.00015999999999997128
fin_count,0.00013999999999997348
HTTPS,0.00010999999999998789
Protocol Type,9.999999999997789e-05
Min,5.999999999998229e-05
Max,5.999999999997119e-05
syn_flag_number,2.9999999999952286e-05
ICMP,1.999999999996449e-05
Drate,9.999999999998898e-06
DHCP,0.0
LLC,0.0
IPv,0.0
ARP,0.0
SMTP,0.0
IRC,0.0
SSH,0.0
Telnet,0.0
DNS,0.0
ece_flag_number,0.0
cwr_flag_number,0.0
fin_flag_number,-2.0000000000031105e-05
rst_flag_number,-3.0000000000041106e-05
Srate,-4.0000000000040004e-05
Rate,-4.0000000000040004e-05
ack_count,-0.0001200000000000645
Magnitue,-0.0001300000000000856
ack_flag_number,-0.0001400000000000734
Radius,-0.0001500000000000723
Std,-0.0001500000000000723
Tot sum,-0.0001700000000000701
AVG,-0.0002400000000000846
