Feature,Importance
Number,0.009599999999999942
rst_count,0.009000000000000008
flow_duration,0.00759999999999994
urg_count,0.0044999999999999485
Weight,0.0036999999999999256
Variance,0.0034999999999999476
Header_Length,0.0020999999999999908
HTTPS,0.0015999999999999348
Std,0.0010000000000000009
Max,0.0010000000000000009
fin_count,0.0009000000000000119
syn_count,0.0009000000000000119
psh_flag_number,0.0008000000000000229
HTTP,0.0008000000000000229
IAT,0.0008000000000000229
Radius,0.0006999999999999229
ack_flag_number,0.0006999999999999229
AVG,0.0006999999999999229
Covariance,0.0005999999999999339
Protocol Type,0.0005999999999999339
ICMP,0.0005999999999999339
Magnitue,0.0004999999999999449
Tot sum,0.00039999999999995595
Duration,0.00039999999999995595
syn_flag_number,0.00029999999999996696
UDP,0.00019999999999997797
Min,0.00019999999999997797
TCP,0.00019999999999997797
Tot size,9.999999999998899e-05
ack_count,9.999999999998899e-05
fin_flag_number,9.999999999998899e-05
Srate,0.0
IRC,0.0
LLC,0.0
IPv,0.0
ARP,0.0
DHCP,0.0
Drate,0.0
SSH,0.0
Telnet,0.0
Rate,0.0
cwr_flag_number,0.0
ece_flag_number,0.0
SMTP,0.0
DNS,-9.999999999998899e-05
rst_flag_number,-9.999999999998899e-05
