,precision,recall,f1-score,support
0,0.7624521072796935,0.8504273504273504,0.804040404040404,234.0
1,0.17142857142857143,0.6,0.26666666666666666,10.0
2,0.9998556581986143,0.9847881717372761,0.9922647185217017,7034.0
3,0.9910313901345291,0.9822222222222222,0.9866071428571429,225.0
4,0.9573273441886581,0.9838430467397576,0.9704040978941377,1733.0
5,0.03571428571428571,0.125,0.05555555555555555,8.0
6,1.0,0.9912434325744308,0.9956024626209323,571.0
7,0.6573033707865169,0.6324324324324324,0.6446280991735537,185.0
accuracy,0.9742,0.9742,0.9742,0.9742
macro avg,0.6968890909663586,0.7687445820166837,0.7144711434162618,10000.0
weighted avg,0.978802996672722,0.9742,0.9762288709035274,10000.0
