,precision,recall,f1-score,support
0,0.8311688311688312,0.8205128205128205,0.8258064516129032,234.0
1,0.5555555555555556,0.5,0.5263157894736842,10.0
2,0.9557465091299677,0.6324992891669036,0.7612285054324579,7034.0
3,0.9369747899159664,0.9911111111111112,0.9632829373650108,225.0
4,0.37105842092397945,0.875937680323139,0.5212912087912088,1733.0
5,0.0,0.0,0.0,8.0
6,0.9964912280701754,0.9947460595446584,0.9956178790534619,571.0
7,0.7172774869109948,0.7405405405405405,0.7287234042553191,185.0
accuracy,0.7092,0.7092,0.7092,0.7092
macro avg,0.6705341027094338,0.6944184376498966,0.6652832719980057,10000.0
weighted avg,0.8478326404768208,0.7092,0.7376431139253117,10000.0
