,precision,recall,f1-score,support
0,0.8125,0.8888888888888888,0.8489795918367347,234.0
1,1.0,0.6,0.75,10.0
2,0.9998577524893314,0.999289166903611,0.9995733788395904,7034.0
3,0.9955357142857143,0.9911111111111112,0.9933184855233853,225.0
4,0.9994232987312572,1.0,0.9997115661955581,1733.0
5,0.0,0.0,0.0,8.0
6,1.0,1.0,1.0,571.0
7,0.8022598870056498,0.7675675675675676,0.7845303867403315,185.0
accuracy,0.9912,0.9912,0.9912,0.9912
macro avg,0.8261970815639941,0.7808570918088973,0.79701417614195,10000.0
weighted avg,0.9908538622521557,0.9912,0.99092952962541,10000.0
