Train_Size,Train_Mean_Accuracy,Train_Std_Accuracy,Val_Mean_Accuracy,Val_Std_Accuracy
2400,,,,
4800,,,,
7200,,,,
9600,0.9999791666666666,4.166666666667318e-05,0.9887666666666666,0.0010832051206181395
12000,0.9999666666666667,6.666666666665932e-05,0.9892,0.0012400716825158762
14400,0.9999444444444444,5.196746370520175e-05,0.9897,0.0010923979738782649
16800,0.9998452380952381,2.9160592176033624e-05,0.9905666666666667,0.0008856886837057718
19200,0.9998229166666667,5.311478659992443e-05,0.9904,0.0009695359714833086
21600,0.9997222222222224,5.071505162085664e-05,0.9907999999999999,0.0008259674462242466
24000,0.9996750000000001,8.49836585598704e-05,0.9910333333333332,0.0008192137151629591
