,precision,recall,f1-score,support
0,0.8,0.905982905982906,0.8496993987975952,234.0
1,0.5384615384615384,0.7,0.6086956521739131,10.0
2,0.9987197724039829,0.9981518339493887,0.9984357224118316,7034.0
3,0.9955156950672646,0.9866666666666667,0.9910714285714286,225.0
4,0.99252443933295,0.9959607616849394,0.9942396313364056,1733.0
5,0.0,0.0,0.0,8.0
6,0.9982425307557118,0.9947460595446584,0.9964912280701754,571.0
7,0.7888198757763976,0.6864864864864865,0.7341040462427746,185.0
accuracy,0.9883,0.9883,0.9883,0.9883
macro avg,0.7640354814747308,0.7834993392893808,0.7715921384505156,10000.0
weighted avg,0.9877543541308512,0.9883,0.9878727579602746,10000.0
