,precision,recall,f1-score,support
0,0.7236363636363636,0.8504273504273504,0.7819253438113949,234.0
1,0.625,0.5,0.5555555555555556,10.0
2,0.8610455730783559,0.9857833380722206,0.9192019619540002,7034.0
3,0.9780701754385965,0.9911111111111112,0.9845474613686535,225.0
4,0.853625170998632,0.36006924408540103,0.5064935064935064,1733.0
5,0.0,0.0,0.0,8.0
6,0.9947089947089947,0.9877408056042032,0.9912126537785588,571.0
7,0.6666666666666666,0.4972972972972973,0.5696594427244582,185.0
accuracy,0.8641,0.8641,0.8641,0.8641
macro avg,0.7128441180659513,0.6465536433246979,0.6635744907107659,10000.0
weighted avg,0.8622885850250547,0.8641,0.8424838534164635,10000.0
