,precision,recall,f1-score,support
0,0.8311688311688312,0.8205128205128205,0.8258064516129032,234.0
1,0.7142857142857143,0.5,0.5882352941176471,10.0
2,0.9991460290350128,0.9980096673301109,0.9985775248933144,7034.0
3,0.9612068965517241,0.9911111111111112,0.975929978118162,225.0
4,0.9925158318940702,0.9948066935949221,0.9936599423631124,1733.0
5,0.0,0.0,0.0,8.0
6,0.993006993006993,0.9947460595446584,0.9938757655293088,571.0
7,0.7384615384615385,0.7783783783783784,0.7578947368421053,185.0
accuracy,0.9876,0.9876,0.9876,0.9876
macro avg,0.7787239793004854,0.7596955913090002,0.7667474616845691,10000.0
weighted avg,0.9869553397887583,0.9876,0.9872425886343055,10000.0
