,precision,recall,f1-score,support
0,0.726962457337884,0.9102564102564102,0.8083491461100569,234.0
1,1.0,0.5,0.6666666666666666,10.0
2,0.9994307670414116,0.9984361671879443,0.998933219543418,7034.0
3,0.9696969696969697,0.9955555555555555,0.9824561403508771,225.0
4,0.9971131639722863,0.996537795729948,0.9968253968253968,1733.0
5,0.0,0.0,0.0,8.0
6,0.9947460595446584,0.9947460595446584,0.9947460595446584,571.0
7,0.7659574468085106,0.5837837837837838,0.6625766871165644,185.0
accuracy,0.9868,0.9868,0.9868,0.9868
macro avg,0.8067383580502151,0.7474144715072875,0.7638191645197048,10000.0
weighted avg,0.9865986289391719,0.9868,0.9861444364518746,10000.0
